timestamp,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence
0,0.48989,0.26785,-0.41248,0.99995,0.49609,0.24555,-0.39027,0.9999,0.50014,0.24599,-0.39036,0.99988,0.50414,0.24632,-0.39043,0.99988,0.4814,0.24547,-0.39555,0.99991,0.47486,0.24555,-0.39565,0.9999,0.46991,0.24576,-0.39576,0.9999,0.50905,0.26003,-0.25377,0.9998,0.45808,0.25812,-0.27876,0.9999,0.49694,0.2959,-0.36091,0.99998,0.47932,0.29312,-0.36808,0.99998,0.54458,0.42139,-0.15297,0.99993,0.41314,0.41014,-0.19527,0.99983,0.56046,0.60441,-0.06271,0.99462,0.39537,0.60383,-0.16258,0.9928,0.57573,0.7636,-0.16094,0.99337,0.40153,0.7746,-0.27267,0.97272,0.5841,0.81201,-0.19813,0.98202,0.39794,0.82514,-0.30806,0.93344,0.57469,0.81022,-0.23439,0.98464,0.41068,0.82325,-0.34566,0.94327,0.56962,0.79732,-0.17673,0.98498,0.4148,0.80676,-0.28821,0.94402,0.52157,0.74134,0.00735,0.99849,0.44601,0.75388,-0.00697,0.99796,0.5259,0.97021,0.01525,0.74546,0.44616,0.97084,0.08093,0.67955,0.5398,1.16342,0.3368,0.09413,0.44873,1.16334,0.37175,0.12449,0.53708,1.19079,0.36278,0.09461,0.45017,1.19095,0.39774,0.09635,0.54704,1.2436,0.24545,0.05479,0.45281,1.23913,0.26045,0.08082
63,0.49133,0.26708,-0.40378,0.99994,0.49759,0.24523,-0.38056,0.99988,0.50204,0.24566,-0.38064,0.99985,0.50631,0.24608,-0.38065,0.99985,0.48253,0.24483,-0.3873,0.9999,0.4764,0.24492,-0.3874,0.99989,0.47048,0.24537,-0.38753,0.99988,0.50991,0.25959,-0.24098,0.99975,0.45836,0.25774,-0.2749,0.9999,0.49781,0.29581,-0.35188,0.99997,0.48054,0.2932,-0.36136,0.99998,0.5448,0.42111,-0.13245,0.9999,0.41342,0.41011,-0.19835,0.99983,0.561,0.60438,-0.02928,0.99264,0.39597,0.60438,-0.1735,0.99292,0.57493,0.76302,-0.11657,0.99159,0.40415,0.77459,-0.2761,0.97169,0.584,0.81137,-0.14994,0.97882,0.40085,0.82519,-0.3113,0.93194,0.57456,0.8102,-0.18511,0.98165,0.41249,0.82306,-0.3485,0.94161,0.5692,0.79687,-0.13212,0.9819,0.41645,0.80662,-0.29135,0.9424,0.52284,0.74752,0.01529,0.99842,0.44619,0.75458,-0.01502,0.99799,0.52517,0.96846,0.07488,0.74966,0.44676,0.96856,0.05846,0.69329,0.53313,1.16263,0.39822,0.11369,0.44813,1.16909,0.32552,0.13959,0.53053,1.18759,0.42429,0.10884,0.44831,1.19229,0.34854,0.10308,0.53904,1.24165,0.30771,0.06535,0.45403,1.25085,0.19683,0.08871
97,0.49157,0.26654,-0.40002,0.99993,0.49798,0.24496,-0.37622,0.99987,0.50271,0.24533,-0.3763,0.99984,0.50718,0.24578,-0.37632,0.99984,0.48267,0.24449,-0.38276,0.99989,0.47675,0.24461,-0.38284,0.99988,0.47054,0.24518,-0.38298,0.99988,0.51059,0.25869,-0.2347,0.99973,0.4587,0.25721,-0.26832,0.99989,0.49801,0.29564,-0.34763,0.99996,0.48071,0.29322,-0.35697,0.99998,0.5453,0.42012,-0.12649,0.99989,0.41374,0.41012,-0.19781,0.99982,0.56124,0.60315,-0.02567,0.991,0.39618,0.6044,-0.17496,0.9931,0.57447,0.76243,-0.1165,0.99039,0.40564,0.77458,-0.27898,0.97136,0.58392,0.8111,-0.15174,0.97671,0.40255,0.82531,-0.31559,0.93159,0.57412,0.81021,-0.18678,0.97964,0.41434,0.82302,-0.35143,0.94098,0.56855,0.79669,-0.13208,0.97971,0.41826,0.80655,-0.29381,0.94177,0.52352,0.75087,0.01685,0.99843,0.44619,0.75526,-0.01659,0.99804,0.52481,0.96759,0.06556,0.75291,0.44676,0.96761,0.06018,0.70244,0.53196,1.15659,0.40793,0.12741,0.44764,1.16678,0.33835,0.14845,0.52915,1.17824,0.43628,0.11894,0.44728,1.18618,0.36089,0.10683,0.53826,1.23517,0.31864,0.07294,0.45525,1.25014,0.22103,0.09341
176,0.4921,0.26646,-0.39841,0.99992,0.49866,0.24502,-0.37428,0.99985,0.5035,0.24537,-0.37437,0.99982,0.50805,0.24582,-0.37438,0.99982,0.48321,0.24449,-0.38149,0.99987,0.47745,0.24458,-0.38158,0.99986,0.47105,0.24516,-0.38171,0.99986,0.51117,0.25858,-0.23158,0.99968,0.45941,0.25672,-0.26782,0.99988,0.49843,0.29559,-0.34552,0.99996,0.48115,0.2933,-0.35561,0.99997,0.54573,0.41904,-0.12055,0.99986,0.41393,0.41012,-0.19833,0.99981,0.56189,0.60198,-0.02184,0.98957,0.39704,0.60581,-0.17918,0.99332,0.57363,0.76259,-0.11394,0.9891,0.40691,0.77469,-0.28442,0.9712,0.58325,0.81119,-0.14987,0.9742,0.40456,0.82531,-0.32191,0.93127,0.57287,0.81029,-0.18425,0.97725,0.41718,0.82272,-0.35761,0.9404,0.56733,0.79667,-0.12938,0.97732,0.42094,0.8064,-0.29904,0.94122,0.52375,0.7527,0.01817,0.9984,0.44619,0.7556,-0.01788,0.99805,0.52422,0.96761,0.0706,0.75247,0.44735,0.96729,0.06259,0.70741,0.52787,1.16396,0.39154,0.13467,0.44723,1.17441,0.34613,0.15061,0.52485,1.18648,0.41747,0.12388,0.4463,1.19424,0.37024,0.10725,0.53384,1.24237,0.29729,0.07642,0.45633,1.2593,0.22337,0.09457
209,0.49228,0.26648,-0.39768,0.99991,0.49901,0.24519,-0.37326,0.99984,0.50391,0.2455,-0.37335,0.99981,0.50855,0.24592,-0.37337,0.9998,0.48348,0.24458,-0.38065,0.99986,0.4778,0.24466,-0.38073,0.99985,0.47132,0.24524,-0.38086,0.99985,0.5118,0.25857,-0.22844,0.99964,0.46001,0.25655,-0.26525,0.99987,0.49866,0.2956,-0.34403,0.99995,0.48132,0.29359,-0.35426,0.99997,0.54641,0.41797,-0.11908,0.99985,0.41465,0.41012,-0.19592,0.9998,0.56243,0.60102,-0.02937,0.98903,0.39746,0.60666,-0.17934,0.99353,0.57328,0.76233,-0.13061,0.98875,0.40796,0.77433,-0.2956,0.97154,0.58293,0.81103,-0.17342,0.97339,0.40552,0.82506,-0.33542,0.9316,0.57189,0.81028,-0.20767,0.97645,0.41817,0.82144,-0.37157,0.94052,0.56631,0.79641,-0.14716,0.97654,0.4223,0.80523,-0.31057,0.94135,0.52421,0.75327,0.01766,0.99834,0.44647,0.75583,-0.01735,0.99802,0.52416,0.96925,0.0705,0.74532,0.44801,0.96989,0.06436,0.70257,0.52704,1.17799,0.38274,0.13175,0.44781,1.18986,0.34649,0.14452,0.5249,1.20364,0.40799,0.12094,0.4465,1.21372,0.3701,0.10274,0.52969,1.256,0.29628,0.07454,0.45911,1.2733,0.21348,0.09097
241,0.49249,0.26647,-0.39711,0.99991,0.49941,0.24522,-0.37272,0.99983,0.50441,0.24552,-0.3728,0.99979,0.50916,0.24594,-0.37281,0.99979,0.48375,0.2446,-0.38012,0.99985,0.47811,0.24469,-0.38021,0.99984,0.47156,0.2453,-0.38034,0.99985,0.51274,0.25855,-0.22848,0.9996,0.46055,0.2564,-0.26516,0.99987,0.49897,0.2956,-0.3436,0.99995,0.4815,0.29376,-0.35388,0.99997,0.54704,0.41758,-0.11998,0.99983,0.41516,0.41033,-0.1954,0.99979,0.56322,0.60126,-0.02792,0.98834,0.39756,0.60774,-0.17879,0.99381,0.57314,0.76326,-0.12943,0.98821,0.40907,0.77385,-0.29405,0.97233,0.58244,0.81148,-0.16936,0.97228,0.40606,0.82412,-0.33276,0.9331,0.57091,0.811,-0.20318,0.97535,0.41855,0.82047,-0.36836,0.94166,0.56544,0.79677,-0.14523,0.97549,0.42304,0.80428,-0.30862,0.94244,0.52488,0.75422,0.01749,0.99832,0.44709,0.75685,-0.01718,0.99805,0.52417,0.96958,0.07605,0.73913,0.44933,0.97188,0.06442,0.7021,0.52796,1.18094,0.39145,0.12977,0.44889,1.1931,0.33476,0.14056,0.5254,1.20658,0.41649,0.11858,0.44734,1.21702,0.35776,0.09921,0.53091,1.25873,0.29471,0.0733,0.46162,1.27552,0.2005,0.08839
273,0.49277,0.26644,-0.39727,0.9999,0.4998,0.24523,-0.37299,0.99982,0.50483,0.24553,-0.37308,0.99978,0.50963,0.24594,-0.37309,0.99978,0.48416,0.24462,-0.38036,0.99985,0.47857,0.24471,-0.38046,0.99984,0.47202,0.24534,-0.38058,0.99984,0.51342,0.25853,-0.22923,0.99958,0.4612,0.25634,-0.26561,0.99986,0.49934,0.2956,-0.34385,0.99994,0.48189,0.29386,-0.3541,0.99997,0.54754,0.41727,-0.12166,0.99982,0.41591,0.41045,-0.19542,0.99979,0.56403,0.60106,-0.03099,0.9881,0.39794,0.60771,-0.18009,0.99403,0.57297,0.76452,-0.13231,0.98799,0.40937,0.77343,-0.29546,0.97277,0.58164,0.81312,-0.17326,0.97177,0.4061,0.8235,-0.33425,0.93376,0.56978,0.8121,-0.20664,0.97483,0.41858,0.82006,-0.3692,0.94211,0.56456,0.79754,-0.14788,0.97497,0.42325,0.80392,-0.30978,0.94282,0.5251,0.75484,0.01779,0.99829,0.44733,0.75714,-0.01748,0.99806,0.52418,0.97065,0.07342,0.73251,0.45017,0.97385,0.05933,0.69983,0.52843,1.18475,0.38588,0.1272,0.44975,1.19714,0.31823,0.13648,0.52607,1.21083,0.41084,0.11577,0.4482,1.22178,0.3401,0.09535,0.53088,1.26218,0.28911,0.07188,0.46271,1.27903,0.18279,0.0857
305,0.49312,0.26641,-0.39357,0.9999,0.50021,0.24524,-0.36893,0.99981,0.50525,0.24553,-0.36901,0.99978,0.51006,0.24595,-0.36903,0.99977,0.48458,0.24464,-0.37651,0.99984,0.47899,0.24474,-0.3766,0.99983,0.47243,0.2454,-0.37673,0.99984,0.51398,0.25847,-0.22392,0.99956,0.46175,0.25626,-0.26144,0.99986,0.49976,0.2956,-0.33971,0.99994,0.48237,0.29394,-0.35028,0.99996,0.54778,0.4168,-0.11651,0.99982,0.41642,0.41041,-0.192,0.99978,0.56423,0.60106,-0.02789,0.98781,0.39818,0.60767,-0.17955,0.99417,0.57291,0.76513,-0.13172,0.9879,0.40933,0.77286,-0.29929,0.97316,0.58091,0.81436,-0.17196,0.97149,0.40599,0.823,-0.33928,0.93435,0.56832,0.81288,-0.20612,0.97455,0.41857,0.81926,-0.3745,0.94253,0.56349,0.79794,-0.14742,0.97468,0.42345,0.80331,-0.31378,0.94318,0.52564,0.75559,0.01776,0.99827,0.44791,0.75812,-0.01744,0.99804,0.52436,0.97203,0.07116,0.72696,0.45053,0.97496,0.06123,0.69429,0.52867,1.19107,0.38273,0.12406,0.44975,1.20335,0.32684,0.1312,0.52652,1.2186,0.40805,0.11259,0.44821,1.22942,0.34942,0.09103,0.53044,1.26876,0.28428,0.07006,0.46259,1.28535,0.19261,0.08244
337,0.49317,0.26633,-0.38854,0.9999,0.50027,0.24522,-0.36434,0.99982,0.50532,0.24549,-0.36442,0.99978,0.51014,0.24588,-0.36443,0.99977,0.48465,0.24465,-0.37063,0.99984,0.47906,0.24478,-0.3707,0.99983,0.47251,0.24548,-0.37083,0.99984,0.51424,0.25828,-0.22264,0.99956,0.46208,0.25625,-0.25414,0.99986,0.49988,0.29552,-0.33619,0.99994,0.48248,0.29397,-0.34502,0.99996,0.5484,0.41679,-0.11914,0.99982,0.41711,0.41019,-0.18708,0.99978,0.56461,0.60155,-0.03498,0.98793,0.39841,0.60765,-0.18478,0.99425,0.57273,0.76525,-0.14339,0.98807,0.40939,0.77112,-0.32485,0.97362,0.57886,0.81542,-0.18574,0.97176,0.40589,0.82185,-0.3684,0.9352,0.56569,0.81351,-0.2196,0.97478,0.41859,0.81748,-0.40251,0.94319,0.56156,0.79833,-0.15877,0.97491,0.4239,0.80184,-0.33962,0.94381,0.52599,0.75675,0.01769,0.99829,0.4484,0.75884,-0.01734,0.99808,0.52441,0.97225,0.06907,0.72164,0.4506,0.97458,0.07634,0.68687,0.52807,1.19365,0.37404,0.12005,0.44894,1.20406,0.34047,0.12503,0.52632,1.22194,0.39718,0.10884,0.44759,1.23125,0.3625,0.08645,0.52878,1.27124,0.26606,0.06763,0.46134,1.28507,0.20038,0.07843
369,0.49326,0.26631,-0.37773,0.9999,0.5004,0.24522,-0.3528,0.99982,0.50548,0.24548,-0.35286,0.99979,0.51031,0.24586,-0.35288,0.99978,0.48472,0.24468,-0.358,0.99985,0.47912,0.24484,-0.35807,0.99984,0.4726,0.24557,-0.35819,0.99984,0.51452,0.25821,-0.21229,0.99958,0.46241,0.25625,-0.23868,0.99987,0.50001,0.29552,-0.32648,0.99994,0.48254,0.29406,-0.33383,0.99997,0.5488,0.41824,-0.11526,0.99982,0.41822,0.41011,-0.17537,0.99978,0.56623,0.60633,-0.03726,0.98834,0.39873,0.60735,-0.18463,0.99429,0.57036,0.76838,-0.15077,0.98834,0.40931,0.77077,-0.33903,0.97383,0.5721,0.8185,-0.1947,0.97215,0.40592,0.82144,-0.3846,0.9354,0.55943,0.81568,-0.22662,0.97509,0.41884,0.81682,-0.41838,0.94323,0.5559,0.80006,-0.16528,0.97528,0.42435,0.80139,-0.3542,0.94396,0.52606,0.76022,0.01751,0.99835,0.44845,0.7628,-0.01715,0.99815,0.52447,0.97226,0.07102,0.71562,0.45047,0.97454,0.0781,0.6786,0.52659,1.20658,0.37397,0.11537,0.44795,1.2179,0.34111,0.11829,0.52538,1.23711,0.39716,0.10478,0.44657,1.24727,0.36351,0.08108,0.52586,1.28457,0.26444,0.06489,0.46066,1.30005,0.20346,0.07406
